title,cuisine,meal_type,servings,prepTime,cookingTime,difficulty,calories,image,description,dietary_tags,ingredients,instructions
Burmese Coconut Chicken Salad,Myanmar,salad,4,20,0,Easy,,,"Shredded chicken tossed with toasted coconut, herbs, and lime.","[]","[{""name"":""Cooked chicken (shredded)"",""amount"":""2 cups""},{""name"":""Toasted coconut"",""amount"":""1/2 cup""},{""name"":""Onion"",""amount"":""1/2 cup, sliced""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce (or soy sauce)"",""amount"":""1 tbsp""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Mix chicken, onion, toasted coconut, and cilantro."",""Dress with lime and fish sauce (or soy)."",""Toss and serve.""]"
Shwe Yin Aye (Coconut Dessert Drink),Myanmar,dessert,4,15,0,Easy,,,"Popular coconut milk dessert drink with jelly, sago, and basil seeds.","[""vegetarian"",""gluten-free""]","[{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Water"",""amount"":""300 ml""},{""name"":""Sugar"",""amount"":""to taste""},{""name"":""Basil seeds (soaked)"",""amount"":""2 tbsp""},{""name"":""Jelly cubes"",""amount"":""1 cup""},{""name"":""Sago pearls (cooked)"",""amount"":""1/2 cup""}]","[""Mix coconut milk with water and sweeten."",""Add soaked basil seeds, jelly, and sago."",""Serve chilled.""]"
Htamin Lone Yay Paw (Sticky Rice Balls),Myanmar,dessert,6,30,10,Medium,,,"Glutinous rice balls filled with palm sugar and served in ginger syrup.","[""vegetarian"",""gluten-free""]","[{""name"":""Glutinous rice flour"",""amount"":""2 cups""},{""name"":""Warm water"",""amount"":""3/4 cup (approx.)""},{""name"":""Palm sugar"",""amount"":""1/2 cup, chopped""},{""name"":""Ginger"",""amount"":""2-inch piece, sliced""},{""name"":""Water"",""amount"":""4 cups""}]","[""Make a soft dough with rice flour and warm water."",""Fill small balls with palm sugar; seal."",""Boil until balls float."",""Simmer ginger in water (sweeten if desired) and serve balls in syrup.""]"
Shwe Kyi (Semolina Coconut Cake),Myanmar,dessert,8,20,35,Medium,,,"Traditional semolina cake cooked with coconut milk until glossy and set.","[""vegetarian""]","[{""name"":""Semolina"",""amount"":""1 cup""},{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Sugar"",""amount"":""1/2 cup""},{""name"":""Salt"",""amount"":""pinch""}]","[""Cook semolina with coconut milk, sugar, and salt, stirring constantly."",""When thick and glossy, pour into a tray and cool to set."",""Slice and serve.""]"
Mont Let Saung (Coconut Jelly Dessert),Myanmar,dessert,4,15,20,Easy,,,"Chilled coconut milk dessert with jelly and sweet syrup.","[""vegetarian"",""gluten-free""]","[{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Jelly cubes"",""amount"":""1 cup""},{""name"":""Sugar syrup"",""amount"":""to taste""},{""name"":""Ice"",""amount"":""as needed""}]","[""Fill bowls with jelly and ice."",""Pour coconut milk and drizzle syrup."",""Serve cold.""]"
Burmese Banana Fritters,Myanmar,dessert,4,10,15,Easy,,,"Ripe bananas coated in batter and fried until crisp.","[""vegetarian""]","[{""name"":""Ripe bananas"",""amount"":""4""},{""name"":""All-purpose flour"",""amount"":""1 cup""},{""name"":""Water"",""amount"":""3/4 cup""},{""name"":""Sugar"",""amount"":""1 tbsp""},{""name"":""Oil"",""amount"":""for frying""}]","[""Whisk flour, water, and sugar into batter."",""Dip bananas and fry until golden."",""Drain and serve.""]"
Burmese Sticky Coconut Rice,Myanmar,dessert,4,20,20,Easy,,,"Sweet sticky rice cooked with coconut milk and palm sugar.","[""vegetarian"",""gluten-free""]","[{""name"":""Glutinous rice"",""amount"":""2 cups""},{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Palm sugar (or brown sugar)"",""amount"":""1/3 cup""},{""name"":""Salt"",""amount"":""pinch""}]","[""Soak sticky rice 2 hours; steam until tender."",""Warm coconut milk with sugar and salt."",""Mix steamed rice with coconut mixture; rest 10 minutes and serve.""]"
Pumpkin & Chickpea Curry,Myanmar,dinner,4,15,25,Easy,340,,"Mild Burmese-style pumpkin curry with chickpeas, turmeric, and garlic.","[""vegan"",""gluten-free""]","[{""name"":""Pumpkin"",""amount"":""600 g, cubed""},{""name"":""Cooked chickpeas"",""amount"":""1 1/2 cups""},{""name"":""Onion"",""amount"":""1 medium, sliced""},{""name"":""Garlic"",""amount"":""4 cloves, minced""},{""name"":""Turmeric"",""amount"":""1/2 tsp""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Salt"",""amount"":""to taste""},{""name"":""Water"",""amount"":""1/2 cup""}]","[""Sauté onion and garlic in oil until fragrant."",""Stir in turmeric, then add pumpkin and salt."",""Add water, cover, and simmer 12–15 minutes until pumpkin softens."",""Add chickpeas and simmer 5 minutes more until glossy.""]"
Burmese Tamarind Noodle Salad,Myanmar,salad,4,20,0,Easy,290,,"Cool noodle salad dressed with tamarind-lime sauce, crunchy peanuts, and herbs.","[""dairy-free""]","[{""name"":""Rice noodles"",""amount"":""400 g""},{""name"":""Tamarind paste"",""amount"":""2 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce (or soy sauce)"",""amount"":""1–2 tbsp""},{""name"":""Sugar"",""amount"":""1 tsp""},{""name"":""Roasted peanuts"",""amount"":""1/3 cup""},{""name"":""Cucumber"",""amount"":""1 cup, julienned""},{""name"":""Cilantro"",""amount"":""1 handful""},{""name"":""Fried garlic"",""amount"":""1 tbsp""}]","[""Cook noodles, rinse cold, and drain well."",""Whisk tamarind, lime, fish sauce (or soy), and sugar."",""Toss noodles with cucumber and dressing."",""Top with peanuts, cilantro, and fried garlic; serve chilled.""]"
Nga Pi Kyaw (Fried Ngapi Paste),Myanmar,dinner,4,10,10,Easy,180,,"Quick fried fermented fish paste with aromatics; eaten with rice and vegetables.","[""pescatarian"",""gluten-free""]","[{""name"":""Ngapi (fermented fish paste)"",""amount"":""2 tbsp""},{""name"":""Onion"",""amount"":""1/2 cup, minced""},{""name"":""Garlic"",""amount"":""3 cloves, minced""},{""name"":""Chili flakes"",""amount"":""1 tsp (optional)""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Lime juice"",""amount"":""1 tsp""}]","[""Heat oil and sauté onion and garlic until golden."",""Add ngapi and stir-fry 2–3 minutes until fragrant."",""Add chili flakes if using."",""Finish with a splash of lime; serve with rice and veggies.""]"
Burmese Chickpea Tofu Soup (Shan Tofu Nway),Myanmar,lunch,4,15,20,Easy,260,,"Warm, silky chickpea tofu soup with garlic oil and herbs.","[""vegetarian"",""gluten-free""]","[{""name"":""Chickpea tofu (Shan tofu)"",""amount"":""400 g, sliced""},{""name"":""Vegetable stock or water"",""amount"":""1 L""},{""name"":""Garlic"",""amount"":""4 cloves, minced""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Soy sauce"",""amount"":""1 tbsp""},{""name"":""White pepper"",""amount"":""1/2 tsp""},{""name"":""Scallions"",""amount"":""2, chopped""},{""name"":""Cilantro"",""amount"":""1 handful""}]","[""Fry garlic in oil until fragrant (don’t burn).",""Add stock and bring to a simmer."",""Add tofu slices and heat gently 5–7 minutes."",""Season with soy sauce and white pepper."",""Serve topped with scallions, cilantro, and garlic oil.""]"
Burmese Pickled Tea Leaf Rice (Laphet Htamin),Myanmar,lunch,4,15,0,Easy,320,,"Leftover rice tossed with pickled tea leaves, lime, and crunchy nuts.","[]","[{""name"":""Cooked rice (cooled)"",""amount"":""4 cups""},{""name"":""Fermented tea leaves (laphet)"",""amount"":""3–4 tbsp""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Fish sauce (or soy sauce)"",""amount"":""1 tbsp""},{""name"":""Neutral oil"",""amount"":""1 tbsp""},{""name"":""Roasted peanuts"",""amount"":""1/3 cup""},{""name"":""Toasted sesame seeds"",""amount"":""1 tbsp""},{""name"":""Fried garlic"",""amount"":""1 tbsp""}]","[""Loosen tea leaves with oil and lime in a bowl."",""Add rice and toss until coated."",""Season with fish sauce (or soy)."",""Fold in peanuts, sesame, and fried garlic; serve.""]"
Burmese Coconut Fish Curry,Myanmar,dinner,4,15,25,Medium,420,,"Fish simmered in coconut milk with turmeric, onion, and gentle heat.","[""pescatarian"",""gluten-free""]","[{""name"":""Fish (firm white fish)"",""amount"":""600 g""},{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Onion"",""amount"":""1 medium, sliced""},{""name"":""Garlic"",""amount"":""4 cloves""},{""name"":""Ginger"",""amount"":""1 inch, minced""},{""name"":""Turmeric"",""amount"":""1/2 tsp""},{""name"":""Fish sauce"",""amount"":""1–2 tbsp""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Water"",""amount"":""1/2 cup""}]","[""Sauté onion, garlic, and ginger in oil until fragrant."",""Add turmeric, then coconut milk and water; simmer 5 minutes."",""Add fish and simmer gently 10–12 minutes until cooked through."",""Season with fish sauce; serve with rice.""]"
Burmese Tomato & Pea Curry,Myanmar,dinner,4,15,20,Easy,300,,"Simple home-style curry of tomatoes and peas with garlic and turmeric.","[""vegan"",""gluten-free""]","[{""name"":""Tomatoes"",""amount"":""4 medium, chopped""},{""name"":""Green peas"",""amount"":""1 1/2 cups""},{""name"":""Garlic"",""amount"":""4 cloves, minced""},{""name"":""Onion"",""amount"":""1 medium, sliced""},{""name"":""Turmeric"",""amount"":""1/2 tsp""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Salt"",""amount"":""to taste""}]","[""Sauté onion and garlic in oil until soft."",""Add turmeric and tomatoes; cook until tomatoes break down."",""Add peas and a splash of water; simmer 8–10 minutes."",""Season with salt and serve with rice.""]"
Burmese Lime Chili Cucumber Salad,Myanmar,salad,4,10,0,Easy,120,,"Crunchy cucumber salad with lime, chili, and toasted sesame.","[""vegan"",""gluten-free"",""spicy""]","[{""name"":""Cucumber"",""amount"":""3 cups, sliced""},{""name"":""Lime juice"",""amount"":""2 tbsp""},{""name"":""Salt"",""amount"":""1/2 tsp""},{""name"":""Sugar"",""amount"":""1 tsp""},{""name"":""Chili flakes"",""amount"":""to taste""},{""name"":""Sesame seeds"",""amount"":""1 tbsp""}]","[""Toss cucumber with salt and rest 5 minutes; drain lightly."",""Mix lime juice and sugar, then toss with cucumber."",""Add chili flakes and sesame seeds; serve.""]"
Mont Sein Paung (Burmese Sweet Semolina Pudding),Myanmar,dessert,6,15,25,Easy,360,,"Soft semolina pudding cooked with coconut milk and sugar, served warm or chilled.","[""vegetarian""]","[{""name"":""Semolina"",""amount"":""1 cup""},{""name"":""Coconut milk"",""amount"":""400 ml""},{""name"":""Water"",""amount"":""1 cup""},{""name"":""Sugar"",""amount"":""1/2 cup""},{""name"":""Salt"",""amount"":""pinch""}]","[""Bring coconut milk, water, sugar, and salt to a gentle simmer."",""Whisk in semolina slowly to avoid lumps."",""Cook, stirring, until thick and glossy (8–10 minutes).",""Pour into bowls and cool slightly before serving.""]"
Burmese Garlic Chicken Stir-Fry,Myanmar,dinner,4,15,15,Easy,410,,"Quick stir-fried chicken with lots of garlic, soy, and a squeeze of lime.","[""dairy-free""]","[{""name"":""Chicken thigh (sliced)"",""amount"":""500 g""},{""name"":""Garlic"",""amount"":""8 cloves, sliced""},{""name"":""Soy sauce"",""amount"":""2 tbsp""},{""name"":""Fish sauce (optional)"",""amount"":""1 tbsp""},{""name"":""Oil"",""amount"":""2 tbsp""},{""name"":""Lime"",""amount"":""1/2, juiced""},{""name"":""Black pepper"",""amount"":""1/2 tsp""}]","[""Heat oil and fry garlic until just golden."",""Add chicken and stir-fry until cooked through."",""Add soy (and fish sauce if using) and pepper; toss 1 minute."",""Finish with lime juice and serve with rice.""]"
